movie_id,gap_s,gap_f,gap_sec,time_m,time_s,time_f,time_min,false_pos
1,0,25,0.8333,2,36,24,2.6133,0
2,2,1,2.0333,3,5,21,3.095,0
3,1,8,1.2667,11,20,12,11.34,1
4,1,2,1.0667,3,30,21,3.5117,0
5,1,9,1.3,14,36,5,14.6028,2
6,1,2,1.0667,1,55,17,1.9261,1
7,1,29,1.9667,2,42,1,2.7006,0
8,1,28,1.9333,5,4,8,5.0711,0
9,0,28,0.9333,14,39,26,14.6644,2
10,0,28,0.9333,4,36,28,4.6156,0
11,1,2,1.0667,13,53,5,13.8861,3
12,2,2,2.0667,2,11,11,2.1894,0
13,1,26,1.8667,3,21,20,3.3611,0
14,1,2,1.0667,5,31,26,5.5311,0
15,1,13,1.4333,6,5,15,6.0917,0
16,1,1,1.0333,7,12,5,7.2028,1
17,0,28,0.9333,6,57,11,6.9561,1
18,1,8,1.2667,3,52,29,3.8828,0
19,1,4,1.1333,4,57,16,4.9589,0
20,3,8,3.2667,4,54,28,4.9156,0
21,1,24,1.8,6,40,10,6.6722,0
22,3,1,3.0333,2,23,10,2.3889,0
23,2,5,2.1667,2,33,0,2.55,0
24,1,13,1.4333,2,24,23,2.4128,0
25,1,19,1.6333,0,47,25,0.7972,0
26,1,4,1.1333,3,51,5,3.8528,0
27,1,0,1,3,20,0,3.3333,0
28,1,28,1.9333,3,58,21,3.9783,0
29,2,5,2.1667,4,52,0,4.8667,0
30,1,2,1.0667,3,26,25,3.4472,0
31,2,0,2,2,57,21,2.9617,0
32,1,1,1.0333,10,35,4,10.5856,1
33,1,28,1.9333,6,32,20,6.5444,0
34,1,4,1.1333,10,55,23,10.9294,2
35,1,3,1.1,2,33,5,2.5528,0
36,1,2,1.0667,5,55,4,5.9189,1
37,1,4,1.1333,2,5,9,2.0883,0
38,2,8,2.2667,8,29,17,8.4928,0
39,0,27,0.9,4,41,13,4.6906,2
40,1,4,1.1333,2,26,5,2.4361,0
